㐀,キュウ おか
㡏,ス シュ ユ トウ ズ
㡐,セン
㡑,ショウ
㡒,チュン シュン トン
㡓,コン ふんどし
㡔,ボク モク ブ ム ボ モ ボウ キョク
㡕,エイ
㡖,チョウ ジュ トウ
㡗,テイ ダイ ケイ タイ シ
㡘,レン リン
㡙,ヘイ ヒ ビ
㡚,コウ ク
㡛,コウ ボウ
㡜,セツ セイ セチ
㡝,ホウ ブ
㡞,ロウ ル
㡟,ソウ
㡠,トウ
㡡,チュウ チュ ジュ とばり かや
㡢,マン バン まく
㡣,リョウ
㡥,イン オン
㡦,ヒン
㡧,トウ チョウ
㡨,セン
㡩,ラン
㡪,ドン ナン ダイ ネ ダン
㡫,エイ もとる
㡬,キ いく きざし ちかい ほとんど
㡭,ケイ つぐ
㡮,キツ ゴチ
㡯,タク ト ズ ジャク ダク いえ
㡰,ウ
㡱,キュウ ク
㡲,カン ゲン
㡳,テイ
㡴,ロウ
㡵,レイ リョウ
㡶,シ
㡷,ホン
㡸,サ シャ ジャ
㡹,ショ シ
㡺,タン
㡻,リョウ リュウ ル
㡼,エイ イ
㡽,チョウ ジョウ
㡾,カン ゲン
㡿,セキ しりぞける
㢀,シ
㢁,シ
㢂,ゲン タイ
㢃,ロウ
㢄,トウ ズ
㢅,ロウ ル
㢆,テン
㢈,タイ デ
㢉,タ ダ タク チャク
㢊,アイ ア イ
㢋,シ
㢍,エイ ヨウ
㢎,ショウ
㢏,トウ ズ ユ
㢑,サイ セ
㢒,サ ジャ
㢓,ショウ
㢔,ソウ ス
㢕,ヨウ ユ やわらぐ
㢖,ハン
㢗,キョウ
㢙,キン
㢚,ロ
㢛,ゲン ゴン カン コン
㢜,コウ
㢝,ソ ス
㢞,エキ ヤク
㢟,テン
㢡,ショウ すすめる
㢢,ヘイ ヘツ つかれる くるしむ
㢣,ケイ ギョウ ささげる たかい もつ
㢥,トウ ズ
㢦,カ
㢧,ケン
㢨,カン
㢩,テキ チャク
㢪,オ
㢬,コウ
㢮,シ ゆるむ
㢯,トン ビン ミン
㢰,ヒ ビ
㢲,ソン
㢳,ロ
㢴,セイ
㢵,キョウ
㢶,ヒツ
㢸,ヒツ
㢺,ケン ゲン
㢻,ズイ ニ イ ダイ ネ
㢼,ヘツ
㢽,ジ
㢾,ケン セン
㣀,チン
㣁,ヒ ビ
㣂,ガク カク ギャク キャク
㣃,シュク
㣄,キョ ゴ
㣅,サン
㣆,シ ビ ミ わたる
㣇,イ テイ ダイ
㣈,シ イ
㣉,コウ
㣋,タン
㣌,サン
㣍,タイ
㣎,ボク モク ビュウ ミュ
㣏,セイ
㣐,ヘン
㣑,ヨウ ユ
㣒,ショウ ソウ
㣓,サン
㣔,テイ チョウ
㣘,ク
㣙,テキ ジャク トク ドク チュウ ジュ
㣚,トウ
㣛,トウ カイ イ
㣜,コウ ギョウ
㣝,シュウ シュ
㣞,タツ ダチ
㣟,キツ キチ
㣠,トウ
㣢,テイ ダイ
㣣,セン
㣤,セン ゼン
㣥,チ ジ
㣦,イ
㣪,カン ガン
㣫,ショウ シュ トウ ズ そぞろに
㣬,シュウ
㣭,ソウ ス
㣯,セツ セチ
㣰,シツ シチ
㣱,サク ジャク
㣲,ビ かすか
㣵,タツ ダチ
㣶,タン テン
㣷,デイ ニョウ
㣺,シン こころ
㣻,ガイ ゲ
㣼,ニン ジン しのぶ
㣽,ジョ
㣾,サ シャ
㣿,チョウ シャク テキ チャク
㤀,ボウ わすれる
㤁,テン かたじけない
㤂,キュウ いそぐ
㤃,ホウ
㤄,ハイ ハツ ホチ ハチ
㤅,アイ めでる
㤆,ハン ホン
㤇,オウ なやむ
㤈,シン
㤉,カ ケ ガ ゲ ゴウ ギョウ ジ
㤊,コウ ゴウ
㤋,フン
㤌,カン
㤍,コウ キョウ
㤎,カ
㤏,トウ ズ
㤐,チョウ テン セン
㤑,ユウ
㤒,コウ
㤓,ホン ボン
㤔,フ ブ
㤕,チュツ ホツ ホチ トツ トチ チュチ
㤖,チョ
㤗,タイ やす
㤙,オン
